Charge Amount,Bank,Place of Business
$4335.25,Wells Fargo,"Jack in\n the box"
$4336.25,Bank of America,"Mcdon\nalds"
$4337.25,Chase,"Wen\ndys"
$4338.25,Wells Fargo,"Apple\n Store"
$4339.25,Bank of America,"Microsoft\n Store"
$4340.25,Chase,"Jack in\n the box"
$4341.25,Wells Fargo,"Mcdon\nalds"
$4342.25,Bank of America,"Wen\ndys"
$4343.25,Chase,"Apple\n Store"
$4344.25,Wells Fargo,"Microsoft\n Store"
$4345.25,Bank of America,"Jack in\n the box"
$4346.25,Chase,"Mcdon\nalds"
$4347.25,Wells Fargo,"Wen\ndys"
$4348.25,Bank of America,"Apple\n Store"
$4349.25,Chase,"Microsoft\n Store"
$4350.25,Wells Fargo,"Jack in\n the box"
$4351.25,Bank of America,"Mcdon\nalds"
$4352.25,Chase,"Wen\ndys"
$4353.25,Wells Fargo,"Apple\n Store"
$4354.25,Bank of America,"Microsoft\n Store"
$4355.25,Chase,"Jack in\n the box"
$4356.25,Wells Fargo,"Mcdon\nalds"
$4357.25,Bank of America,"Wen\ndys"
$4358.25,Chase,"Apple\n Store"
$4359.25,Wells Fargo,"Microsoft\n Store"
$4360.25,Bank of America,"Jack in\n the box"
$4361.25,Chase,"Mcdon\nalds"
$4362.25,Wells Fargo,"Wen\ndys"
$4363.25,Bank of America,"Apple\n Store"
$4364.25,Chase,"Microsoft\n Store"
$4365.25,Wells Fargo,"Jack in\n the box"
$4366.25,Bank of America,"Mcdon\nalds"
$4367.25,Chase,"Wen\ndys"
$4368.25,Wells Fargo,"Apple\n Store"
$4369.25,Bank of America,"Microsoft\n Store"
$4370.25,Chase,"Jack in\n the box"
$4371.25,Wells Fargo,"Mcdon\nalds"
$4372.25,Bank of America,"Wen\ndys"
$4373.25,Chase,"Apple\n Store"
$4374.25,Wells Fargo,"Microsoft\n Store"
$4375.25,Bank of America,"Jack in\n the box"
$4376.25,Chase,"Mcdon\nalds"
$4377.25,Wells Fargo,"Wen\ndys"
$4378.25,Bank of America,"Apple\n Store"
$4379.25,Chase,"Microsoft\n Store"
$4380.25,Wells Fargo,"Jack in\n the box"
$4381.25,Bank of America,"Mcdon\nalds"
$4382.25,Chase,"Wen\ndys"
$4383.25,Wells Fargo,"Apple\n Store"
$4384.25,Bank of America,"Microsoft\n Store"
$4385.25,Chase,"Jack in\n the box"
$4386.25,Wells Fargo,"Mcdon\nalds"
$4387.25,Bank of America,"Wen\ndys"
$4388.25,Chase,"Apple\n Store"
$4389.25,Wells Fargo,"Microsoft\n Store"
$4390.25,Bank of America,"Jack in\n the box"
$4391.25,Chase,"Mcdon\nalds"
$4392.25,Wells Fargo,"Wen\ndys"
$4393.25,Bank of America,"Apple\n Store"
$4394.25,Chase,"Microsoft\n Store"
$4395.25,Wells Fargo,"Jack in\n the box"
$4396.25,Bank of America,"Mcdon\nalds"
$4397.25,Chase,"Wen\ndys"
$4398.25,Wells Fargo,"Apple\n Store"
$4399.25,Bank of America,"Microsoft\n Store"
$4400.25,Chase,"Jack in\n the box"
$4401.25,Wells Fargo,"Mcdon\nalds"
$4402.25,Bank of America,"Wen\ndys"
$4403.25,Chase,"Apple\n Store"
$4404.25,Wells Fargo,"Microsoft\n Store"
$4405.25,Bank of America,"Jack in\n the box"
$4406.25,Chase,"Mcdon\nalds"
$4407.25,Wells Fargo,"Wen\ndys"
$4408.25,Bank of America,"Apple\n Store"
$4409.25,Chase,"Microsoft\n Store"
$4410.25,Wells Fargo,"Jack in\n the box"
$4411.25,Bank of America,"Mcdon\nalds"
$4412.25,Chase,"Wen\ndys"
$4413.25,Wells Fargo,"Apple\n Store"
$4414.25,Bank of America,"Microsoft\n Store"
$4415.25,Chase,"Jack in\n the box"
$4416.25,Wells Fargo,"Mcdon\nalds"
$4417.25,Bank of America,"Wen\ndys"
$4418.25,Chase,"Apple\n Store"
$4419.25,Wells Fargo,"Microsoft\n Store"
$4420.25,Bank of America,"Jack in\n the box"
$4421.25,Chase,"Mcdon\nalds"
$4422.25,Wells Fargo,"Wen\ndys"
$4423.25,Bank of America,"Apple\n Store"
$4424.25,Chase,"Microsoft\n Store"
$4425.25,Wells Fargo,"Jack in\n the box"
$4426.25,Bank of America,"Mcdon\nalds"
$4427.25,Chase,"Wen\ndys"
$4428.25,Wells Fargo,"Apple\n Store"
$4429.25,Bank of America,"Microsoft\n Store"
$4430.25,Chase,"Jack in\n the box"
$4431.25,Wells Fargo,"Mcdon\nalds"
$4432.25,Bank of America,"Wen\ndys"
$4433.25,Chase,"Apple\n Store"
$4434.25,Wells Fargo,"Microsoft\n Store"
$4435.25,Bank of America,"Jack in\n the box"
$4436.25,Chase,"Mcdon\nalds"
$4437.25,Wells Fargo,"Wen\ndys"
$4438.25,Bank of America,"Apple\n Store"
$4439.25,Chase,"Microsoft\n Store"
$4440.25,Wells Fargo,"Jack in\n the box"
$4441.25,Bank of America,"Mcdon\nalds"
$4442.25,Chase,"Wen\ndys"
$4443.25,Wells Fargo,"Apple\n Store"
$4444.25,Bank of America,"Microsoft\n Store"
$4445.25,Chase,"Jack in\n the box"
$4446.25,Wells Fargo,"Mcdon\nalds"
$4447.25,Bank of America,"Wen\ndys"
$4448.25,Chase,"Apple\n Store"
$4449.25,Wells Fargo,"Microsoft\n Store"
$4450.25,Bank of America,"Jack in\n the box"
$4451.25,Chase,"Mcdon\nalds"
$4452.25,Wells Fargo,"Wen\ndys"
$4453.25,Bank of America,"Apple\n Store"
$4454.25,Chase,"Microsoft\n Store"
$4455.25,Wells Fargo,"Jack in\n the box"
$4456.25,Bank of America,"Mcdon\nalds"
$4457.25,Chase,"Wen\ndys"
$4458.25,Wells Fargo,"Apple\n Store"
$4459.25,Bank of America,"Microsoft\n Store"
$4460.25,Chase,"Jack in\n the box"
$4461.25,Wells Fargo,"Mcdon\nalds"
$4462.25,Bank of America,"Wen\ndys"
$4463.25,Chase,"Apple\n Store"
$4464.25,Wells Fargo,"Microsoft\n Store"
$4465.25,Bank of America,"Jack in\n the box"
$4466.25,Chase,"Mcdon\nalds"
$4467.25,Wells Fargo,"Wen\ndys"
$4468.25,Bank of America,"Apple\n Store"
$4469.25,Chase,"Microsoft\n Store"
$4470.25,Wells Fargo,"Jack in\n the box"
$4471.25,Bank of America,"Mcdon\nalds"
$4472.25,Chase,"Wen\ndys"
$4473.25,Wells Fargo,"Apple\n Store"
$4474.25,Bank of America,"Microsoft\n Store"
$4475.25,Chase,"Jack in\n the box"
$4476.25,Wells Fargo,"Mcdon\nalds"
$4477.25,Bank of America,"Wen\ndys"
$4478.25,Chase,"Apple\n Store"
$4479.25,Wells Fargo,"Microsoft\n Store"
$4480.25,Bank of America,"Jack in\n the box"
$4481.25,Chase,"Mcdon\nalds"
$4482.25,Wells Fargo,"Wen\ndys"
$4483.25,Bank of America,"Apple\n Store"
$4484.25,Chase,"Microsoft\n Store"
$4485.25,Wells Fargo,"Jack in\n the box"
$4486.25,Bank of America,"Mcdon\nalds"
$4487.25,Chase,"Wen\ndys"
$4488.25,Wells Fargo,"Apple\n Store"
$4489.25,Bank of America,"Microsoft\n Store"
$4490.25,Chase,"Jack in\n the box"
$4491.25,Wells Fargo,"Mcdon\nalds"
$4492.25,Bank of America,"Wen\ndys"
$4493.25,Chase,"Apple\n Store"
$4494.25,Wells Fargo,"Microsoft\n Store"
$4495.25,Bank of America,"Jack in\n the box"
$4496.25,Chase,"Mcdon\nalds"
$4497.25,Wells Fargo,"Wen\ndys"
$4498.25,Bank of America,"Apple\n Store"
$4499.25,Chase,"Microsoft\n Store"
$4500.25,Wells Fargo,"Jack in\n the box"
$4501.25,Bank of America,"Mcdon\nalds"
$4502.25,Chase,"Wen\ndys"
$4503.25,Wells Fargo,"Apple\n Store"
$4504.25,Bank of America,"Microsoft\n Store"
$4505.25,Chase,"Jack in\n the box"
$4506.25,Wells Fargo,"Mcdon\nalds"
$4507.25,Bank of America,"Wen\ndys"
$4508.25,Chase,"Apple\n Store"
$4509.25,Wells Fargo,"Microsoft\n Store"
$4510.25,Bank of America,"Jack in\n the box"
$4511.25,Chase,"Mcdon\nalds"
$4512.25,Wells Fargo,"Wen\ndys"
$4513.25,Bank of America,"Apple\n Store"
$4514.25,Chase,"Microsoft\n Store"
$4515.25,Wells Fargo,"Jack in\n the box"
$4516.25,Bank of America,"Mcdon\nalds"
$4517.25,Chase,"Wen\ndys"
$4518.25,Wells Fargo,"Apple\n Store"
$4519.25,Bank of America,"Microsoft\n Store"
$4520.25,Chase,"Jack in\n the box"
$4521.25,Wells Fargo,"Mcdon\nalds"
$4522.25,Bank of America,"Wen\ndys"
$4523.25,Chase,"Apple\n Store"
$4524.25,Wells Fargo,"Microsoft\n Store"
$4525.25,Bank of America,"Jack in\n the box"
$4526.25,Chase,"Mcdon\nalds"
$4527.25,Wells Fargo,"Wen\ndys"
$4528.25,Bank of America,"Apple\n Store"
$4529.25,Chase,"Microsoft\n Store"
$4530.25,Wells Fargo,"Jack in\n the box"
$4531.25,Bank of America,"Mcdon\nalds"
$4532.25,Chase,"Wen\ndys"
$4533.25,Wells Fargo,"Apple\n Store"
$4534.25,Bank of America,"Microsoft\n Store"
$4535.25,Chase,"Jack in\n the box"
$4536.25,Wells Fargo,"Mcdon\nalds"
$4537.25,Bank of America,"Wen\ndys"
$4538.25,Chase,"Apple\n Store"
$4539.25,Wells Fargo,"Microsoft\n Store"
$4540.25,Bank of America,"Jack in\n the box"
$4541.25,Chase,"Mcdon\nalds"
$4542.25,Wells Fargo,"Wen\ndys"
$4543.25,Bank of America,"Apple\n Store"
$4544.25,Chase,"Microsoft\n Store"
$4545.25,Wells Fargo,"Jack in\n the box"
$4546.25,Bank of America,"Mcdon\nalds"
$4547.25,Chase,"Wen\ndys"
$4548.25,Wells Fargo,"Apple\n Store"
$4549.25,Bank of America,"Microsoft\n Store"
$4550.25,Chase,"Jack in\n the box"
$4551.25,Wells Fargo,"Mcdon\nalds"
$4552.25,Bank of America,"Wen\ndys"
$4553.25,Chase,"Apple\n Store"
$4554.25,Wells Fargo,"Microsoft\n Store"
$4555.25,Bank of America,"Jack in\n the box"
$4556.25,Chase,"Mcdon\nalds"
$4557.25,Wells Fargo,"Wen\ndys"
$4558.25,Bank of America,"Apple\n Store"
$4559.25,Chase,"Microsoft\n Store"
$4560.25,Wells Fargo,"Jack in\n the box"
$4561.25,Bank of America,"Mcdon\nalds"
$4562.25,Chase,"Wen\ndys"
$4563.25,Wells Fargo,"Apple\n Store"
$4564.25,Bank of America,"Microsoft\n Store"
$4565.25,Chase,"Jack in\n the box"
$4566.25,Wells Fargo,"Mcdon\nalds"
$4567.25,Bank of America,"Wen\ndys"
$4568.25,Chase,"Apple\n Store"
$4569.25,Wells Fargo,"Microsoft\n Store"
$4570.25,Bank of America,"Jack in\n the box"
$4571.25,Chase,"Mcdon\nalds"
$4572.25,Wells Fargo,"Wen\ndys"
$4573.25,Bank of America,"Apple\n Store"
$4574.25,Chase,"Microsoft\n Store"
$4575.25,Wells Fargo,"Jack in\n the box"
$4576.25,Bank of America,"Mcdon\nalds"
$4577.25,Chase,"Wen\ndys"
$4578.25,Wells Fargo,"Apple\n Store"
$4579.25,Bank of America,"Microsoft\n Store"
$4580.25,Chase,"Jack in\n the box"
$4581.25,Wells Fargo,"Mcdon\nalds"
$4582.25,Bank of America,"Wen\ndys"
$4583.25,Chase,"Apple\n Store"
$4584.25,Wells Fargo,"Microsoft\n Store"
$4585.25,Bank of America,"Jack in\n the box"
$4586.25,Chase,"Mcdon\nalds"
$4587.25,Wells Fargo,"Wen\ndys"
$4588.25,Bank of America,"Apple\n Store"
$4589.25,Chase,"Microsoft\n Store"
$4590.25,Wells Fargo,"Jack in\n the box"
$4591.25,Bank of America,"Mcdon\nalds"
$4592.25,Chase,"Wen\ndys"
$4593.25,Wells Fargo,"Apple\n Store"
$4594.25,Bank of America,"Microsoft\n Store"
$4595.25,Chase,"Jack in\n the box"
$4596.25,Wells Fargo,"Mcdon\nalds"
$4597.25,Bank of America,"Wen\ndys"
$4598.25,Chase,"Apple\n Store"
$4599.25,Wells Fargo,"Microsoft\n Store"
$4600.25,Bank of America,"Jack in\n the box"
$4601.25,Chase,"Mcdon\nalds"
$4602.25,Wells Fargo,"Wen\ndys"
$4603.25,Bank of America,"Apple\n Store"
$4604.25,Chase,"Microsoft\n Store"
$4605.25,Wells Fargo,"Jack in\n the box"
$4606.25,Bank of America,"Mcdon\nalds"
$4607.25,Chase,"Wen\ndys"
$4608.25,Wells Fargo,"Apple\n Store"
$4609.25,Bank of America,"Microsoft\n Store"
$4610.25,Chase,"Jack in\n the box"
$4611.25,Wells Fargo,"Mcdon\nalds"
$4612.25,Bank of America,"Wen\ndys"
$4613.25,Chase,"Apple\n Store"
$4614.25,Wells Fargo,"Microsoft\n Store"
$4615.25,Bank of America,"Jack in\n the box"
$4616.25,Chase,"Mcdon\nalds"
$4617.25,Wells Fargo,"Wen\ndys"
$4618.25,Bank of America,"Apple\n Store"
$4619.25,Chase,"Microsoft\n Store"
$4620.25,Wells Fargo,"Jack in\n the box"
$4621.25,Bank of America,"Mcdon\nalds"
$4622.25,Chase,"Wen\ndys"
$4623.25,Wells Fargo,"Apple\n Store"
$4624.25,Bank of America,"Microsoft\n Store"
$4625.25,Chase,"Jack in\n the box"
$4626.25,Wells Fargo,"Mcdon\nalds"
$4627.25,Bank of America,"Wen\ndys"
$4628.25,Chase,"Apple\n Store"
$4629.25,Wells Fargo,"Microsoft\n Store"
$4630.25,Bank of America,"Jack in\n the box"
$4631.25,Chase,"Mcdon\nalds"
$4632.25,Wells Fargo,"Wen\ndys"
$4633.25,Bank of America,"Apple\n Store"
$4634.25,Chase,"Microsoft\n Store"
$4635.25,Wells Fargo,"Jack in\n the box"
$4636.25,Bank of America,"Mcdon\nalds"
$4637.25,Chase,"Wen\ndys"
$4638.25,Wells Fargo,"Apple\n Store"
$4639.25,Bank of America,"Microsoft\n Store"
$4640.25,Chase,"Jack in\n the box"
$4641.25,Wells Fargo,"Mcdon\nalds"
$4642.25,Bank of America,"Wen\ndys"
$4643.25,Chase,"Apple\n Store"
$4644.25,Wells Fargo,"Microsoft\n Store"
$4645.25,Bank of America,"Jack in\n the box"
$4646.25,Chase,"Mcdon\nalds"
$4647.25,Wells Fargo,"Wen\ndys"
$4648.25,Bank of America,"Apple\n Store"
$4649.25,Chase,"Microsoft\n Store"
$4650.25,Wells Fargo,"Jack in\n the box"
$4651.25,Bank of America,"Mcdon\nalds"
$4652.25,Chase,"Wen\ndys"
$4653.25,Wells Fargo,"Apple\n Store"
$4654.25,Bank of America,"Microsoft\n Store"
$4655.25,Chase,"Jack in\n the box"
$4656.25,Wells Fargo,"Mcdon\nalds"
$4657.25,Bank of America,"Wen\ndys"
$4658.25,Chase,"Apple\n Store"
$4659.25,Wells Fargo,"Microsoft\n Store"
$4660.25,Bank of America,"Jack in\n the box"
$4661.25,Chase,"Mcdon\nalds"
$4662.25,Wells Fargo,"Wen\ndys"
$4663.25,Bank of America,"Apple\n Store"
$4664.25,Chase,"Microsoft\n Store"
$4665.25,Wells Fargo,"Jack in\n the box"
$4666.25,Bank of America,"Mcdon\nalds"
$4667.25,Chase,"Wen\ndys"
$4668.25,Wells Fargo,"Apple\n Store"
$4669.25,Bank of America,"Microsoft\n Store"
$4670.25,Chase,"Jack in\n the box"
$4671.25,Wells Fargo,"Mcdon\nalds"
$4672.25,Bank of America,"Wen\ndys"
$4673.25,Chase,"Apple\n Store"
$4674.25,Wells Fargo,"Microsoft\n Store"
$4675.25,Bank of America,"Jack in\n the box"
$4676.25,Chase,"Mcdon\nalds"
$4677.25,Wells Fargo,"Wen\ndys"
$4678.25,Bank of America,"Apple\n Store"
$4679.25,Chase,"Microsoft\n Store"
$4680.25,Wells Fargo,"Jack in\n the box"
$4681.25,Bank of America,"Mcdon\nalds"
$4682.25,Chase,"Wen\ndys"
$4683.25,Wells Fargo,"Apple\n Store"
$4684.25,Bank of America,"Microsoft\n Store"
$4685.25,Chase,"Jack in\n the box"
$4686.25,Wells Fargo,"Mcdon\nalds"
$4687.25,Bank of America,"Wen\ndys"
$4688.25,Chase,"Apple\n Store"
$4689.25,Wells Fargo,"Microsoft\n Store"
$4690.25,Bank of America,"Jack in\n the box"
$4691.25,Chase,"Mcdon\nalds"
$4692.25,Wells Fargo,"Wen\ndys"
$4693.25,Bank of America,"Apple\n Store"
$4694.25,Chase,"Microsoft\n Store"
$4695.25,Wells Fargo,"Jack in\n the box"
$4696.25,Bank of America,"Mcdon\nalds"
$4697.25,Chase,"Wen\ndys"
$4698.25,Wells Fargo,"Apple\n Store"
$4699.25,Bank of America,"Microsoft\n Store"
$4700.25,Chase,"Jack in\n the box"
$4701.25,Wells Fargo,"Mcdon\nalds"
$4702.25,Bank of America,"Wen\ndys"
$4703.25,Chase,"Apple\n Store"
$4704.25,Wells Fargo,"Microsoft\n Store"
$4705.25,Bank of America,"Jack in\n the box"
$4706.25,Chase,"Mcdon\nalds"
$4707.25,Wells Fargo,"Wen\ndys"
$4708.25,Bank of America,"Apple\n Store"
$4709.25,Chase,"Microsoft\n Store"
$4710.25,Wells Fargo,"Jack in\n the box"
$4711.25,Bank of America,"Mcdon\nalds"
$4712.25,Chase,"Wen\ndys"
$4713.25,Wells Fargo,"Apple\n Store"
$4714.25,Bank of America,"Microsoft\n Store"
$4715.25,Chase,"Jack in\n the box"
$4716.25,Wells Fargo,"Mcdon\nalds"
$4717.25,Bank of America,"Wen\ndys"
$4718.25,Chase,"Apple\n Store"
$4719.25,Wells Fargo,"Microsoft\n Store"
$4720.25,Bank of America,"Jack in\n the box"
$4721.25,Chase,"Mcdon\nalds"
$4722.25,Wells Fargo,"Wen\ndys"
$4723.25,Bank of America,"Apple\n Store"
$4724.25,Chase,"Microsoft\n Store"
$4725.25,Wells Fargo,"Jack in\n the box"
$4726.25,Bank of America,"Mcdon\nalds"
$4727.25,Chase,"Wen\ndys"
$4728.25,Wells Fargo,"Apple\n Store"
$4729.25,Bank of America,"Microsoft\n Store"
$4730.25,Chase,"Jack in\n the box"
$4731.25,Wells Fargo,"Mcdon\nalds"
$4732.25,Bank of America,"Wen\ndys"
$4733.25,Chase,"Apple\n Store"
$4734.25,Wells Fargo,"Microsoft\n Store"
$4735.25,Bank of America,"Jack in\n the box"
$4736.25,Chase,"Mcdon\nalds"
$4737.25,Wells Fargo,"Wen\ndys"
$4738.25,Bank of America,"Apple\n Store"
$4739.25,Chase,"Microsoft\n Store"
$4740.25,Wells Fargo,"Jack in\n the box"
$4741.25,Bank of America,"Mcdon\nalds"
$4742.25,Chase,"Wen\ndys"
$4743.25,Wells Fargo,"Apple\n Store"
$4744.25,Bank of America,"Microsoft\n Store"
$4745.25,Chase,"Jack in\n the box"
$4746.25,Wells Fargo,"Mcdon\nalds"
$4747.25,Bank of America,"Wen\ndys"
$4748.25,Chase,"Apple\n Store"
$4749.25,Wells Fargo,"Microsoft\n Store"
$4750.25,Bank of America,"Jack in\n the box"
$4751.25,Chase,"Mcdon\nalds"
$4752.25,Wells Fargo,"Wen\ndys"
$4753.25,Bank of America,"Apple\n Store"
$4754.25,Chase,"Microsoft\n Store"
$4755.25,Wells Fargo,"Jack in\n the box"
$4756.25,Bank of America,"Mcdon\nalds"
$4757.25,Chase,"Wen\ndys"
$4758.25,Wells Fargo,"Apple\n Store"
$4759.25,Bank of America,"Microsoft\n Store"
$4760.25,Chase,"Jack in\n the box"
$4761.25,Wells Fargo,"Mcdon\nalds"
$4762.25,Bank of America,"Wen\ndys"
$4763.25,Chase,"Apple\n Store"
$4764.25,Wells Fargo,"Microsoft\n Store"
$4765.25,Bank of America,"Jack in\n the box"
$4766.25,Chase,"Mcdon\nalds"
$4767.25,Wells Fargo,"Wen\ndys"
$4768.25,Bank of America,"Apple\n Store"
$4769.25,Chase,"Microsoft\n Store"
$4770.25,Wells Fargo,"Jack in\n the box"
$4771.25,Bank of America,"Mcdon\nalds"
$4772.25,Chase,"Wen\ndys"
$4773.25,Wells Fargo,"Apple\n Store"
$4774.25,Bank of America,"Microsoft\n Store"
$4775.25,Chase,"Jack in\n the box"
$4776.25,Wells Fargo,"Mcdon\nalds"
$4777.25,Bank of America,"Wen\ndys"
$4778.25,Chase,"Apple\n Store"
$4779.25,Wells Fargo,"Microsoft\n Store"
$4780.25,Bank of America,"Jack in\n the box"
$4781.25,Chase,"Mcdon\nalds"
$4782.25,Wells Fargo,"Wen\ndys"
$4783.25,Bank of America,"Apple\n Store"
$4784.25,Chase,"Microsoft\n Store"
$4785.25,Wells Fargo,"Jack in\n the box"
$4786.25,Bank of America,"Mcdon\nalds"
$4787.25,Chase,"Wen\ndys"
$4788.25,Wells Fargo,"Apple\n Store"
$4789.25,Bank of America,"Microsoft\n Store"
$4790.25,Chase,"Jack in\n the box"
$4791.25,Wells Fargo,"Mcdon\nalds"
$4792.25,Bank of America,"Wen\ndys"
$4793.25,Chase,"Apple\n Store"
$4794.25,Wells Fargo,"Microsoft\n Store"
$4795.25,Bank of America,"Jack in\n the box"
$4796.25,Chase,"Mcdon\nalds"
$4797.25,Wells Fargo,"Wen\ndys"
$4798.25,Bank of America,"Apple\n Store"
$4799.25,Chase,"Microsoft\n Store"
$4800.25,Wells Fargo,"Jack in\n the box"
$4801.25,Bank of America,"Mcdon\nalds"
$4802.25,Chase,"Wen\ndys"
$4803.25,Wells Fargo,"Apple\n Store"
$4804.25,Bank of America,"Microsoft\n Store"
$4805.25,Chase,"Jack in\n the box"
$4806.25,Wells Fargo,"Mcdon\nalds"
$4807.25,Bank of America,"Wen\ndys"
$4808.25,Chase,"Apple\n Store"
$4809.25,Wells Fargo,"Microsoft\n Store"
$4810.25,Bank of America,"Jack in\n the box"
$4811.25,Chase,"Mcdon\nalds"
$4812.25,Wells Fargo,"Wen\ndys"
$4813.25,Bank of America,"Apple\n Store"
$4814.25,Chase,"Microsoft\n Store"
$4815.25,Wells Fargo,"Jack in\n the box"
$4816.25,Bank of America,"Mcdon\nalds"
$4817.25,Chase,"Wen\ndys"
$4818.25,Wells Fargo,"Apple\n Store"
$4819.25,Bank of America,"Microsoft\n Store"
$4820.25,Chase,"Jack in\n the box"
$4821.25,Wells Fargo,"Mcdon\nalds"
$4822.25,Bank of America,"Wen\ndys"
$4823.25,Chase,"Apple\n Store"
$4824.25,Wells Fargo,"Microsoft\n Store"
$4825.25,Bank of America,"Jack in\n the box"
$4826.25,Chase,"Mcdon\nalds"
$4827.25,Wells Fargo,"Wen\ndys"
$4828.25,Bank of America,"Apple\n Store"
$4829.25,Chase,"Microsoft\n Store"
$4830.25,Wells Fargo,"Jack in\n the box"
$4831.25,Bank of America,"Mcdon\nalds"
$4832.25,Chase,"Wen\ndys"
$4833.25,Wells Fargo,"Apple\n Store"
$4834.25,Bank of America,"Microsoft\n Store"
$4835.25,Chase,"Jack in\n the box"
$4836.25,Wells Fargo,"Mcdon\nalds"
$4837.25,Bank of America,"Wen\ndys"
$4838.25,Chase,"Apple\n Store"
$4839.25,Wells Fargo,"Microsoft\n Store"
$4840.25,Bank of America,"Jack in\n the box"
$4841.25,Chase,"Mcdon\nalds"
$4842.25,Wells Fargo,"Wen\ndys"
$4843.25,Bank of America,"Apple\n Store"
$4844.25,Chase,"Microsoft\n Store"
$4845.25,Wells Fargo,"Jack in\n the box"
$4846.25,Bank of America,"Mcdon\nalds"
$4847.25,Chase,"Wen\ndys"
$4848.25,Wells Fargo,"Apple\n Store"
$4849.25,Bank of America,"Microsoft\n Store"
$4850.25,Chase,"Jack in\n the box"
$4851.25,Wells Fargo,"Mcdon\nalds"
$4852.25,Bank of America,"Wen\ndys"
$4853.25,Chase,"Apple\n Store"
$4854.25,Wells Fargo,"Microsoft\n Store"
$4855.25,Bank of America,"Jack in\n the box"
$4856.25,Chase,"Mcdon\nalds"
$4857.25,Wells Fargo,"Wen\ndys"
$4858.25,Bank of America,"Apple\n Store"
$4859.25,Chase,"Microsoft\n Store"
$4860.25,Wells Fargo,"Jack in\n the box"
$4861.25,Bank of America,"Mcdon\nalds"
$4862.25,Chase,"Wen\ndys"
$4863.25,Wells Fargo,"Apple\n Store"
$4864.25,Bank of America,"Microsoft\n Store"
$4865.25,Chase,"Jack in\n the box"
$4866.25,Wells Fargo,"Mcdon\nalds"
$4867.25,Bank of America,"Wen\ndys"
$4868.25,Chase,"Apple\n Store"
$4869.25,Wells Fargo,"Microsoft\n Store"
$4870.25,Bank of America,"Jack in\n the box"
$4871.25,Chase,"Mcdon\nalds"
$4872.25,Wells Fargo,"Wen\ndys"
$4873.25,Bank of America,"Apple\n Store"
$4874.25,Chase,"Microsoft\n Store"
$4875.25,Wells Fargo,"Jack in\n the box"
$4876.25,Bank of America,"Mcdon\nalds"
$4877.25,Chase,"Wen\ndys"
$4878.25,Wells Fargo,"Apple\n Store"
$4879.25,Bank of America,"Microsoft\n Store"
$4880.25,Chase,"Jack in\n the box"
$4881.25,Wells Fargo,"Mcdon\nalds"
$4882.25,Bank of America,"Wen\ndys"
$4883.25,Chase,"Apple\n Store"
$4884.25,Wells Fargo,"Microsoft\n Store"
$4885.25,Bank of America,"Jack in\n the box"
$4886.25,Chase,"Mcdon\nalds"
$4887.25,Wells Fargo,"Wen\ndys"
$4888.25,Bank of America,"Apple\n Store"
$4889.25,Chase,"Microsoft\n Store"
$4890.25,Wells Fargo,"Jack in\n the box"
$4891.25,Bank of America,"Mcdon\nalds"
$4892.25,Chase,"Wen\ndys"
$4893.25,Wells Fargo,"Apple\n Store"
$4894.25,Bank of America,"Microsoft\n Store"
$4895.25,Chase,"Jack in\n the box"
$4896.25,Wells Fargo,"Mcdon\nalds"
$4897.25,Bank of America,"Wen\ndys"
$4898.25,Chase,"Apple\n Store"
$4899.25,Wells Fargo,"Microsoft\n Store"
$4900.25,Bank of America,"Jack in\n the box"
$4901.25,Chase,"Mcdon\nalds"
$4902.25,Wells Fargo,"Wen\ndys"
$4903.25,Bank of America,"Apple\n Store"
$4904.25,Chase,"Microsoft\n Store"
$4905.25,Wells Fargo,"Jack in\n the box"
$4906.25,Bank of America,"Mcdon\nalds"
$4907.25,Chase,"Wen\ndys"
$4908.25,Wells Fargo,"Apple\n Store"
$4909.25,Bank of America,"Microsoft\n Store"
$4910.25,Chase,"Jack in\n the box"
$4911.25,Wells Fargo,"Mcdon\nalds"
$4912.25,Bank of America,"Wen\ndys"
$4913.25,Chase,"Apple\n Store"
$4914.25,Wells Fargo,"Microsoft\n Store"
$4915.25,Bank of America,"Jack in\n the box"
$4916.25,Chase,"Mcdon\nalds"
$4917.25,Wells Fargo,"Wen\ndys"
$4918.25,Bank of America,"Apple\n Store"
$4919.25,Chase,"Microsoft\n Store"
$4920.25,Wells Fargo,"Jack in\n the box"
$4921.25,Bank of America,"Mcdon\nalds"
$4922.25,Chase,"Wen\ndys"
$4923.25,Wells Fargo,"Apple\n Store"
$4924.25,Bank of America,"Microsoft\n Store"
$4925.25,Chase,"Jack in\n the box"
$4926.25,Wells Fargo,"Mcdon\nalds"
$4927.25,Bank of America,"Wen\ndys"
$4928.25,Chase,"Apple\n Store"
$4929.25,Wells Fargo,"Microsoft\n Store"
$4930.25,Bank of America,"Jack in\n the box"
$4931.25,Chase,"Mcdon\nalds"
$4932.25,Wells Fargo,"Wen\ndys"
$4933.25,Bank of America,"Apple\n Store"
$4934.25,Chase,"Microsoft\n Store"
$4935.25,Wells Fargo,"Jack in\n the box"
$4936.25,Bank of America,"Mcdon\nalds"
$4937.25,Chase,"Wen\ndys"
$4938.25,Wells Fargo,"Apple\n Store"
$4939.25,Bank of America,"Microsoft\n Store"
$4940.25,Chase,"Jack in\n the box"
$4941.25,Wells Fargo,"Mcdon\nalds"
